ven_d,model_d,tac_d
coolpad,8720q,86084202
karbonn,alfa a104,91144395
fly,cirrus 9 fs553,35338208
philips,xenium x126,86816100
wiko,sunset 2 dual,35647907
highscreen,explosion cellon c8096,86046201
wiko,ridge 4g,35807306
micromax,a70,91111500
zte,geek u988s,86224002
lava,a50,91154280
zte,u9810,86722601
archos,50 cesium,35706507
alcatel,one touch pop 8s p350x,86542602
huawei,g9 plus mlatl10,86274103
vivo,y512,86285403
vivo,y512,86903902
zte,axon mini b2015,86802602
wexler,tab 7id,35745705
oneplus,one a1001oneplus a0001one a0001,86580002
digma,hit 3g dongguan zhaoxin x8,86595502
leagoo,m8 pro,35822808
prestigio,multiphone 4322 duo,35838205
prestigio,multiphone 5507 duo psp5507,35679006
doogee,nova y100x,35644807
nokia,lumia 920 rm867,35414705
lg,g6 h873,35546908
sony,xperia z2 tablet lte sgp551,35327406
wiko,u feel fab,35360808
huawei,p8 lite dual alel02,86218603
xiaomi,note7 m1901f7t,86504804
xiaomi,note7 m1901f7t,99001285
huawei,enjoy 9s pottl00a,86757704
lenovo,a6010,86734502
infocus,m510,35974905
lg,tribute 2 ls6651,35939406
qmobile,i6,35413906
lenovo,lemon k3 dual k31t7,86727802
doogee,x6 pro,35696807
lg,joy dual h222g,35997606
xiaomi,redmi 1s 3g hongmi 1s 20130291,86542402
samsung,galaxy j7 2017 dual smj730gds3,35270409
sony ericsson,wt18i,35834104
fly,evo tech 1 iq454,86260302
fly,evo tech 1 iq454,35287306
lg,prada 30 ku5400,35883904
lg,g5 rs988,35846607
allview,a6 quad,35679906
samsung,galaxy tab a 105 smt595n,35716509
freetel,raijin ftj162e,35306408
asus,padfone infinity a80,35492805
samsung,gear s smr750d,35567906
samsung,galaxy j5 prime smg571f,35356709
intex,aqua power,91141905
samsung,galaxy core max smg510f,35430706
fly,era nano 3 iq436,86425802
lyf,flame 4 ls4003,91150080
huawei,ascend g500d u8832d u8832d5,86365501
huawei,ascend g500d u8832d u8832d5,86397101
huawei,e5577 e5577cs3211,86469503
htc,desire 820 0pfj500,35571906
gionee,elife s6,86932702
qmobile,b170,35392906
samart imobile pubilc coltd,imobile iq x lucus,35785206
nokia,51 dual ta1102,35692809
myphone,fun 4,35470007
huawei,e5373s928,86614102
explay,mu240,35655005
explay,mu240,35649405
alcatel,pixi 3 35 ot4022d,35880806
huawei,honor 3c h30c00,86526502
intex,aqua strong 51 plus,91155855
lyf,water 11 ls5017,91151045
micromax,canvas 4 a315,91137400
htc,inspire pd98100,35681204
zte,a530,86856703
zte,a530,86783003
zte,uzo s511,86860800
lenovo,moto g4 dual xt1621,35820707
lenovo,moto g4 dual xt1621,35650008
nokia,207 207 asha rm954,35726905
huawei,ascend g6 g6l33,86403902
karbonn,k95,91138035
lg,leon l21g,35748506
